subject,condition,target,time,Animate
ANCAT139,FamiliarBottle,Inanimate,0,TRUE
ANCAT139,FamiliarBottle,Inanimate,17,TRUE
ANCAT139,FamiliarBottle,Inanimate,33,TRUE
ANCAT139,FamiliarBottle,Inanimate,50,TRUE
ANCAT139,FamiliarBottle,Inanimate,67,TRUE
ANCAT139,FamiliarBottle,Inanimate,83,TRUE
ANCAT139,FamiliarBottle,Inanimate,100,TRUE
ANCAT139,FamiliarBottle,Inanimate,117,TRUE
ANCAT139,FamiliarBottle,Inanimate,133,TRUE
ANCAT139,FamiliarBottle,Inanimate,150,TRUE
ANCAT139,FamiliarBottle,Inanimate,167,TRUE
ANCAT139,FamiliarBottle,Inanimate,183,TRUE
ANCAT139,FamiliarBottle,Inanimate,200,TRUE
ANCAT139,FamiliarBottle,Inanimate,217,TRUE
ANCAT139,FamiliarBottle,Inanimate,233,TRUE
ANCAT139,FamiliarBottle,Inanimate,250,TRUE
ANCAT139,FamiliarBottle,Inanimate,267,TRUE
ANCAT139,FamiliarBottle,Inanimate,283,TRUE
ANCAT139,FamiliarBottle,Inanimate,300,TRUE
ANCAT139,FamiliarBottle,Inanimate,333,FALSE
ANCAT139,FamiliarBottle,Inanimate,350,FALSE
ANCAT139,FamiliarBottle,Inanimate,367,FALSE
ANCAT139,FamiliarBottle,Inanimate,383,FALSE
ANCAT139,FamiliarBottle,Inanimate,400,FALSE
ANCAT139,FamiliarBottle,Inanimate,417,FALSE
ANCAT139,FamiliarBottle,Inanimate,517,FALSE
ANCAT139,FamiliarBottle,Inanimate,533,FALSE
ANCAT139,FamiliarBottle,Inanimate,550,FALSE
ANCAT139,FamiliarBottle,Inanimate,567,FALSE
ANCAT139,FamiliarBottle,Inanimate,583,FALSE
ANCAT139,FamiliarBottle,Inanimate,600,FALSE
ANCAT139,FamiliarBottle,Inanimate,617,FALSE
ANCAT139,FamiliarBottle,Inanimate,633,FALSE
ANCAT139,FamiliarBottle,Inanimate,650,FALSE
ANCAT139,FamiliarBottle,Inanimate,667,FALSE
ANCAT139,FamiliarBottle,Inanimate,683,FALSE
ANCAT139,FamiliarBottle,Inanimate,700,FALSE
ANCAT139,FamiliarBottle,Inanimate,717,FALSE
ANCAT139,FamiliarBottle,Inanimate,733,FALSE
ANCAT139,FamiliarBottle,Inanimate,750,FALSE
ANCAT139,FamiliarBottle,Inanimate,767,FALSE
ANCAT139,FamiliarBottle,Inanimate,783,FALSE
ANCAT139,FamiliarBottle,Inanimate,800,FALSE
ANCAT139,FamiliarBottle,Inanimate,817,FALSE
ANCAT139,FamiliarBottle,Inanimate,833,FALSE
ANCAT139,FamiliarBottle,Inanimate,850,FALSE
ANCAT139,FamiliarBottle,Inanimate,900,FALSE
ANCAT139,FamiliarBottle,Inanimate,917,FALSE
ANCAT139,FamiliarBottle,Inanimate,933,FALSE
ANCAT139,FamiliarBottle,Inanimate,950,FALSE
ANCAT139,FamiliarBottle,Inanimate,967,FALSE
ANCAT139,FamiliarBottle,Inanimate,983,FALSE
ANCAT139,FamiliarBottle,Inanimate,1000,FALSE
ANCAT139,FamiliarBottle,Inanimate,1017,FALSE
ANCAT139,FamiliarBottle,Inanimate,1033,FALSE
ANCAT139,FamiliarBottle,Inanimate,1050,FALSE
ANCAT139,FamiliarBottle,Inanimate,1067,FALSE
ANCAT139,FamiliarBottle,Inanimate,1083,FALSE
ANCAT139,FamiliarBottle,Inanimate,1100,FALSE
ANCAT139,FamiliarBottle,Inanimate,1117,FALSE
ANCAT139,FamiliarBottle,Inanimate,1133,FALSE
ANCAT139,FamiliarBottle,Inanimate,1150,FALSE
ANCAT139,FamiliarBottle,Inanimate,1167,FALSE
ANCAT139,FamiliarBottle,Inanimate,1183,FALSE
ANCAT139,FamiliarBottle,Inanimate,1200,FALSE
ANCAT139,FamiliarBottle,Inanimate,1217,FALSE
ANCAT139,FamiliarBottle,Inanimate,1233,FALSE
ANCAT139,FamiliarBottle,Inanimate,1250,FALSE
ANCAT139,FamiliarBottle,Inanimate,1267,FALSE
ANCAT139,FamiliarBottle,Inanimate,1283,FALSE
ANCAT139,FamiliarBottle,Inanimate,1300,FALSE
ANCAT139,FamiliarBottle,Inanimate,1317,FALSE
ANCAT139,FamiliarBottle,Inanimate,1333,FALSE
ANCAT139,FamiliarBottle,Inanimate,1383,FALSE
ANCAT139,FamiliarBottle,Inanimate,1400,FALSE
ANCAT139,FamiliarBottle,Inanimate,1417,FALSE
ANCAT139,FamiliarBottle,Inanimate,1433,FALSE
ANCAT139,FamiliarBottle,Inanimate,1450,FALSE
ANCAT139,FamiliarBottle,Inanimate,1467,FALSE
ANCAT139,FamiliarBottle,Inanimate,1483,FALSE
ANCAT139,FamiliarBottle,Inanimate,1500,FALSE
ANCAT139,FamiliarBottle,Inanimate,1700,FALSE
ANCAT139,FamiliarBottle,Inanimate,1717,FALSE
ANCAT139,FamiliarBottle,Inanimate,2183,FALSE
ANCAT139,FamiliarBottle,Inanimate,2200,FALSE
ANCAT139,FamiliarBottle,Inanimate,2217,FALSE
ANCAT139,FamiliarBottle,Inanimate,2233,FALSE
ANCAT139,FamiliarBottle,Inanimate,2250,FALSE
ANCAT139,FamiliarBottle,Inanimate,2267,FALSE
ANCAT139,FamiliarBottle,Inanimate,2283,FALSE
ANCAT139,FamiliarBottle,Inanimate,2300,FALSE
ANCAT139,FamiliarBottle,Inanimate,2317,FALSE
ANCAT139,FamiliarBottle,Inanimate,2333,FALSE
ANCAT139,FamiliarBottle,Inanimate,2350,FALSE
ANCAT139,FamiliarBottle,Inanimate,2367,FALSE
ANCAT139,FamiliarBottle,Inanimate,2383,FALSE
ANCAT139,FamiliarBottle,Inanimate,2400,FALSE
ANCAT139,FamiliarBottle,Inanimate,2417,FALSE
ANCAT139,FamiliarBottle,Inanimate,2433,FALSE
